Academic_Success_Center 7
   1411.3097 454.3551012 0
   1417.265249 493.2883956 0
   1423.13191 531.6216906 0
   1435.443009 530.3550252 0
   1452.231881 528.6216936 0
   1446.487442 491.221731 0
   1440.409671 451.6106595 0
Administrative_Services 8
   761.0992389 86.3776914 0
   776.3658903 111.4776663 0
   798.2992017 103.6332297 0
   801.1547544 107.555448 0
   833.5769442 95.7999042 0
   795.4325379 20.4999795 0
   763.0103481 32.2666344 0
   789.7103214 75.3999246 0
Alumni_Center 12
   1470.665196 1158.965508 0
   1516.431817 1152.643292 0
   1512.654043 1134.121088 1
   1512.354043 1133.176645 1
   1510.587378 1124.732209 1
   1509.742935 1118.498881 0
   1507.831826 1109.121113 0
   1480.698519 1112.876665 0
   1483.487405 1126.543318 0
   1491.042953 1125.498874 0
   1493.142951 1135.776642 0
   1466.676311 1139.443305 0
Barnes_Center 4
   2018.942425 616.1660505 0
   2030.342414 623.5771542 0
   2056.775721 596.1216261 0
   2045.375732 588.7105224 0
Barnett_Hall 6
   1771.164895 758.9770188 0
   1825.342619 758.6992413 0
   1825.198175 739.0214832 0
   1814.598185 739.0770387 0
   1787.898212 739.2103719 0
   1771.020451 739.2992607 0
Barre_Hall 12
   1436.331897 379.6218426 0
   1441.098559 381.9773958 0
   1439.18745 384.332949 0
   1516.431817 410.2107009 0
   1517.387372 407.8551477 0
   1523.109588 409.4329239 0
   1527.87625 398.444046 0
   1524.065143 396.8773809 0
   1525.976252 392.1773856 0
   1449.676328 367.0774107 0
   1447.77633 370.2107409 0
   1443.954112 368.6440758 0
Benet_Hall 8
   931.6990683 698.3215239 0
   935.7435087 698.0548575 0
   949.2434952 696.5215257 0
   976.1545794 693.7548618 0
   975.1768026 684.4548711 0
   974.1434703 674.6215476 0
   932.3101788 678.443766 0
   928.5324048 678.7104324 0
Biosystems_Research_Complex 20
   1770.19823 367.1662995 0
   1855.075923 370.2996297 0
   1860.798139 371.0885178 0
   1864.609247 370.2996297 0
   1864.609247 365.5996344 0
   1862.698137 362.4551931 0
   1865.564801 338.1441063 0
   1801.664865 336.5774412 0
   1802.62042 320.888568 0
   1854.120368 320.888568 0
   1854.120368 318.5330148 0
   1862.698137 318.5330148 0
   1863.653692 290.2997097 0
   1855.075923 290.2997097 0
   1854.120368 298.1441463 0
   1767.331566 296.5774812 0
   1766.387123 311.4774663 0
   1781.642663 312.2663544 0
   1781.642663 336.5774412 0
   1770.19823 335.7885531 0
Bowen_Hall 4
   1078.1767 1028.221194 0
   1080.032253 1041.565625 0
   1130.565536 1036.810074 0
   1128.709982 1023.476754 0
Brackett_Hall 15
   1322.054234 882.999117 0
   1329.398671 882.3768954 0
   1330.476447 890.887998 0
   1366.909744 887.7991122 0
   1365.309746 875.0657916 0
   1377.9764 873.999126 0
   1372.076406 826.999173 0
   1363.220859 827.7547278 0
   1362.265304 820.1658465 0
   1358.354197 820.4991795 0
   1357.398643 812.8658538 0
   1353.809757 813.1658535 0
   1335.35422 814.7325186 0
   1313.720909 816.5658501 0
   1320.943123 874.1324592 0
Bradley_Hall 4
   1023.776754 1048.098952 0
   1071.910039 1042.865624 0
   1069.69893 1029.121193 0
   1021.565645 1034.365632 0
Brooks_Center_for_the_Performing_Arts 46
   1376.254179 323.8552317 0
   1380.320842 346.5218757 0
   1384.14306 346.0552095 0
   1383.909727 344.7996552 0
   1400.731933 342.7552128 0
   1401.120821 344.9107662 0
   1417.454138 342.9329904 0
   1426.354129 315.9441285 0
   1429.009682 316.5441279 0
   1430.831903 311.0441334 0
   1434.04301 311.7552438 0
   1438.809672 297.3108138 0
   1434.565232 296.3552592 0
   1438.543006 296.4663702 0
   1439.876338 293.3108178 0
   1438.465228 293.2108179 0
   1440.209671 289.1441553 0
   1442.42078 289.777488 0
   1444.065223 285.9108252 0
   1442.531891 285.4663812 0
   1443.931889 282.1774956 0
   1445.476332 282.6219396 0
   1446.898553 279.2997207 0
   1445.109666 278.777499 0
   1454.954101 255.7219665 0
   1442.62078 252.1553034 0
   1439.209672 260.1552954 0
   1433.265233 258.4330749 0
   1430.165237 232.9331004 0
   1419.065248 227.5664391 0
   1404.298596 226.2997737 0
   1378.498621 229.8775479 0
   1373.620849 230.4664362 0
   1362.920859 231.555324 0
   1370.031963 278.6441658 0
   1383.043061 277.3219449 0
   1380.976397 263.555292 0
   1393.065274 262.3219599 0
   1395.820826 280.6441638 0
   1417.520805 278.4330549 0
   1414.965252 261.4664052 0
   1430.765236 270.7886181 0
   1406.776371 319.8219024 0
   1396.343048 322.7663439 0
   1395.75416 318.6219036 0
   1382.031951 319.9441245 0
Byrnes_Hall 8
   1917.509194 692.6326407 0
   1922.275856 697.3437471 0
   1948.98694 697.3437471 0
   1953.753602 693.4215288 0
   1954.709156 672.2437722 0
   1948.98694 668.3215539 0
   1922.275856 668.3215539 0
   1917.509194 671.4659952 0
Campbell_Museum_of_Natural_History 6
   1544.420678 713.2437312 0
   1561.787327 711.1770666 0
   1559.59844 698.7881901 0
   1545.242899 700.4992995 0
   1546.254009 706.2326271 0
   1543.242901 706.5881823 0
Campus_View_Apartments 12
   1414.565252 1306.143138 0
   1382.087507 1225.776552 0
   1360.409751 1231.654324 0
   1374.665292 1267.232066 0
   1353.009758 1273.098727 0
   1339.009772 1238.154317 0
   1319.143125 1243.543201 0
   1350.431983 1323.63201 0
   1336.587552 1326.96534 0
   1342.276436 1341.265325 0
   1432.887456 1316.909794 0
   1427.198573 1302.609808 0
Central_Energy_Facilities 4
   927.3546282 917.0879718 0
   955.221267 915.0657516 0
   950.6101605 872.3657943 0
   922.7546328 874.3991256 0
Chick-fil-A 13
   1171.987717 603.5105076 0
   1183.554372 603.0438414 0
   1183.798816 601.9216203 0
   1193.198807 601.332732 0
   1193.098807 599.5771782 0
   1197.47658 595.6771821 0
   1194.354361 593.9105172 0
   1192.487696 581.1438633 0
   1190.09881 581.3994186 0
   1188.832145 575.3883135 0
   1170.276608 576.888312 0
   1171.187718 583.1660835 0
   1169.476608 583.3216389 0
Chilled_Water_Plant 4
   913.5435309 450.9439935 0
   959.3657073 438.6440058 0
   953.0101581 422.6106885 0
   907.1879817 434.8995651 0
Clemson_University_Foundation 22
   1523.220699 1202.93213 0
   1532.187357 1198.954357 0
   1534.965132 1203.198797 0
   1539.909571 1200.998799 0
   1541.187348 1202.954353 0
   1536.398464 1205.076573 0
   1539.265127 1209.443235 0
   1537.109574 1210.39879 0
   1540.609571 1215.743229 0
   1544.498456 1214.021008 0
   1545.776232 1215.976562 0
   1548.765118 1214.654341 0
   1553.154002 1221.454334 0
   1549.331784 1223.109888 1
   1538.27624 1227.932105 1
   1534.076244 1229.79877 0
   1529.431804 1222.720999 0
   1533.654022 1220.854335 0
   1532.52069 1219.143225 0
   1536.142908 1217.532116 0
   1532.687356 1212.276566 0
   1530.109581 1213.421009 0
Cook_Engineering_Laboratory 4
   1210.143234 592.1882967 0
   1230.798769 589.7105214 0
   1226.532107 565.6438788 0
   1205.876572 568.1216541 0
Cope_Hall 7
   945.5768322 793.7547618 0
   952.7212695 792.8992071 0
   990.2767875 789.0992109 0
   989.2323441 780.1547754 0
   988.0434564 770.110341 0
   948.999051 774.0325593 0
   942.887946 774.6436698 0
Core_Campus_Building_A 6
   973.1212491 811.8991881 0
   1041.087848 806.0436384 0
   1044.4434 832.3880565 0
   992.0656746 836.8991631 0
   995.3545602 862.6880262 0
   979.7656869 864.0324693 0
Core_Campus_Building_B 12
   1005.176773 910.5990894 0
   1014.121208 909.887979 0
   1022.987866 909.221313 0
   1053.187836 906.8546487 0
   1045.332288 839.1769386 0
   1017.998982 841.4102697 0
   1009.165657 841.9658247 0
   998.5878903 842.8436016 0
   1001.41011 867.1546884 0
   983.2990167 868.5769092 0
   985.4101257 886.776891 0
   1002.254553 885.4546701 0
Core_Campus_Building_C 10
   986.1434583 945.7546098 0
   979.9434645 892.7546628 0
   995.3656713 891.5324418 0
   998.443446 917.7990822 0
   1014.832318 916.4324169 0
   1023.698976 915.7879731 0
   1052.243392 913.5435309 0
   1055.376722 940.3435041 0
   1036.154519 941.8657248 1
   1015.632318 943.4212788 1
Core_Campus_Building_D 8
